,address,price,price_change,area,list_fee,sold_date,price_sqm,sqm,rooms,Hiss,Uteplats,Nyproduktion,Balkong
1545,"Torsgatan 31, 2 tr (5 tr från gård)",6050000,-0.02,Vasastan,3456.0,2022-10-06,97581,62,2,1,0,0,1
1546,"Polhemsgatan 3, 5 tr",8700000,0.02,Nedre Kungsholmen,3704.0,2022-10-06,117568,74,2,1,0,0,1
1547,"Frejgatan 17, 4 tr",7775000,-0.03,Vasastan,3558.0,2022-10-06,111071,70,3,0,0,0,1
1548,Slipgatan 14,2700000,0.13,Hornstull,1848.0,2022-10-06,108000,25,1,1,0,0,1
1549,Skeppargatan 37,10000000,0.03,Östermalm,3761.0,2022-10-06,123457,81,3,1,0,0,0
1550,Tjärhovsgatan 22,2050000,0.03,Södermalm,1966.0,2022-10-06,107895,19,1,1,0,0,0
1551,"Brännkyrkagatan 92, 2,5tr",2550000,0.02,Södermalm,2096.0,2022-10-06,91071,28,1,1,0,0,0
1552,"Orvar odds väg 51, 2tr",5150000,0.06,Kungsholmen - Fredhäll,2970.0,2022-10-06,88793,58,2,1,0,0,1
1553,"Linnégatan 8, 4 tr",3460000,0.08,Östermalm,807.0,2022-10-06,111613,31,1,1,0,0,1
1554,Hallandsgatan 24,3900000,0.01,Södermalm - Katarina Sofia,2349.0,2022-10-06,82979,47,2,1,0,0,0
1555,"Hälsingegatan 61, 5 tr",5000000,-0.02,Hagastaden,2175.0,2022-10-06,142857,35+17,1.5,1,0,0,1
1556,Södermannagatan 72,6600000,0.06,Södermalm Sofia,4948.0,2022-10-06,78571,84,4,1,0,0,1
1557,"Östermalmsgatan 57, BV",4000000,0.05,Östermalm,1626.0,2022-10-06,111111,36,1,0,1,0,0
1558,Tjärhovsgatan 22,2175000,0.01,Södermalm,1966.0,2022-10-06,114474,19,1,1,0,0,0
1559,"Valfrid Palmgrens gata 7, 3 tr",5560000,0.24,Vasastan - Torsplan,1334.0,2022-10-06,123556,45,2,1,0,0,1
1560,"Valhallavägen 152D, 4 tr",8000000,0.01,Östermalm,3147.0,2022-10-06,101266,79,3,1,0,0,1
1561,"Kungstensgatan 28B, 4 tr",9050000,0.0,Norrmalm/Vasastan,1399.0,2022-10-06,105233,86,3,1,0,0,0
1562,Klippgatan 14B,4300000,0.08,Södermalm,2342.0,2022-10-06,91489,47,2,0,0,0,0
1563,"Roslagsgatan 35A, 1tr",4375000,0.03,Vasastan,1979.0,2022-10-06,106707,41,2,1,0,0,1
1564,Tre Liljor 1,6050000,-0.03,Vasastan,2238.0,2022-10-06,106140,57,2,1,0,0,0
1565,Ola Hanssonsgatan 6,3095000,0.0,Kristineberg,2361.0,2022-10-06,91029,34,1,1,0,0,1
1566,"Bergsundsgatan 4, 5tr",4455000,0.06,Södermalm,1732.0,2022-10-06,92813,48,2,1,0,0,1
1567,Bjurholmsplan 27,4630000,0.08,Katarina,2869.0,2022-10-05,100652,46,2,1,0,0,1
1568,"Beckbrännarbacken 1, 3 tr",4200000,0.0,Sofia,2550.0,2022-10-05,93333,45,2,1,0,0,1
1569,"Luntmakargatan 59, 5+6tr.",4750000,0.06,Vasastan - City/Norrmalm,3287.0,2022-10-05,98958,48,2,1,0,0,1
1570,"Bergsundsgatan 7, vån 6 / 6!",2100000,0.05,Södermalm - Hornstull,1546.0,2022-10-05,110526,19,1,1,0,0,0
